d,n,m,kappa_90,theory_d_over_sqrt_m,theory_log_term,binding_term,C_empirical
50,8,4.0,60.11412310703467,25.0,12.39118205916559,d/√m,2.4045649242813867
50,12,6.0,38.200524774369754,20.412414523193153,10.117357784961683,d/√m,1.8714358720750677
50,16,8.0,32.22768675434867,17.677669529663685,8.761888860953077,d/√m,1.8230732676764658
50,24,12.0,21.67381413877395,14.433756729740645,7.154052297436914,d/√m,1.5016058912864465
50,32,16.0,19.351228804611786,12.5,6.195591029582795,d/√m,1.548098304368943
50,64,32.0,12.297061940816441,8.838834764831843,4.380944430476538,d/√m,1.3912537419235702
100,8,4.0,105.95232728011632,50.0,17.523777721906153,d/√m,2.1190465456023264
100,12,6.0,67.32917813605398,40.824829046386306,14.308104594873829,d/√m,1.6492213123428563
100,16,8.0,53.672239836722724,35.35533905932737,12.39118205916559,d/√m,1.518080190000696
100,24,12.0,40.42804378944255,28.86751345948129,10.117357784961683,d/√m,1.4004685178786778
100,32,16.0,34.10692232718789,25.0,8.761888860953077,d/√m,1.3642768930875155
100,64,32.0,22.937640575934964,17.677669529663685,6.195591029582795,d/√m,1.2975488956530656
200,8,4.0,186.74306595281956,100.0,24.78236411833118,d/√m,1.8674306595281955
200,12,6.0,125.58873784573052,81.64965809277261,20.234715569923367,d/√m,1.538141625811012
200,16,8.0,94.59838099795685,70.71067811865474,17.523777721906153,d/√m,1.3378231338584787
200,24,12.0,75.41020303007643,57.73502691896258,14.308104594873829,d/√m,1.3061430305717687
200,32,16.0,63.61945066696363,50.0,12.39118205916559,d/√m,1.2723890133392726
200,64,32.0,42.78545214482724,35.35533905932737,8.761888860953077,d/√m,1.2101553339095945
384,8,4.0,348.33079214281827,192.0,34.33945102769719,d/√m,1.8142228757438452
384,12,6.0,234.2599673771692,156.7673435381234,28.038044355049845,d/√m,1.4943161125914006
384,16,8.0,176.4538287958258,135.7645019878171,24.28165868390804,d/√m,1.2997051969568598
384,24,12.0,132.9119697458863,110.85125168440815,19.825891294664945,d/√m,1.199011898614232
384,32,16.0,112.13053622100566,96.0,17.169725513848594,d/√m,1.168026418968809
384,64,32.0,75.41020303007643,67.88225099390856,12.14082934195402,d/√m,1.1108972069421121
768,8,4.0,687.6265682805831,384.0,48.56331736781608,d/√m,1.7906941882306853
768,12,6.0,462.4436917050929,313.5346870762468,39.65178258932989,d/√m,1.4749363013625145
768,16,8.0,348.33079214281827,271.5290039756342,34.33945102769719,d/√m,1.2828492980222321
768,24,12.0,262.3764642728006,221.7025033688163,28.038044355049845,d/√m,1.183461892788466
768,32,16.0,221.35262675686317,192.0,24.28165868390804,d/√m,1.1528782643586624
768,64,32.0,148.86441363373046,135.7645019878171,17.169725513848594,d/√m,1.0964899620601036
