cluster_id,size,row_ids_sample
66,35164,"[1529485, 2909644, 2909649, 2909750, 2909763]"
118,15530,"[1195005, 1195362, 1195473, 1195657, 1195870]"
143,15162,"[40, 62, 90, 132, 142]"
134,12611,"[757354, 757418, 757469, 757483, 757505]"
129,3525,"[757479, 757713, 757850, 757921, 758182]"
163,663,"[1479, 16425, 19252, 21863, 24301]"
126,507,"[2052783, 2052946, 2052952, 2053551, 2053796]"
76,236,"[673396, 1059898, 1080412, 1082660, 1137863]"
166,232,"[272782, 273099, 274436, 275178, 275955]"
9,198,"[1636, 101394, 102197, 102707, 106846]"
8,195,"[758382, 760675, 764640, 767149, 769699]"
95,192,"[1169777, 1714080, 1935309, 1996764, 2053657]"
59,186,"[2555793, 2556002, 2556084, 2556269, 2556360]"
79,166,"[2053184, 2053671, 2053717, 2054861, 2056336]"
77,138,"[221819, 330961, 424691, 426406, 493318]"
7,129,"[757645, 757832, 763230, 763290, 765739]"
62,113,"[525775, 526561, 528451, 530198, 530581]"
87,97,"[759140, 759314, 763530, 767898, 774582]"
85,97,"[657201, 658377, 661361, 661929, 668604]"
51,90,"[2427247, 2431132, 2431597, 2434403, 2437136]"
